word_id	morphology	lemma_source	lemma_ipa	definition
15	(-лъ̄илIи, -ди)	авара'	a-w-a-r-a-'	препятствие, помеха; затруднение; *авара гурулъIа* препятствовать; *авара бухьилъIи бе-къIичи къелIа?* без помех доехали до дома?; _цег._ *аваралъа*
16	(-с̄у/б/е)	ава'ракIе	a-w-a'-r-a-k’-e	пророк; _тлян._ *аваракI*
17	(-лIи, -ди)	ава'рийа	a-w-a'-r-i-j-a	авария (_дорожное происшествие_); *аварийа-лъ̄ига бухьурулъIа* попасть в аварию
18	(-лIи, -а)	аваᴴ'си	a-w-ã'-s-i	аванс; *аваᴴси бекъIурулъIа* получить аванс; _тлян._ *аваница*
19	(-лъ̄илIи)	а'гъаба	a'-ʁ-a-b-a	1) пленка (_плесени_) 2) зеленая слизь (_на камнях_); _ратл._ 1) *хъор*, _тлян._ *агъа*, _цег._ 1) *хьал*
20	(-лъ̄илIи)	агъа'зи	a-ʁ-a'-z-i	1) забота, внимание; *агъази губа гьулъ̄илIи* не обращай внимания на это (_или на неё_); *агъази гвилъIе̄гье белъ̄урулъIа* оставить _кого-л._ без внимания 2) уважение; *агъази голъIелъе* безразличие; *агъази голъIа аᴴде* а) беззаботный человек б) безразличный человек в) непочтительный человек; *иᴴкIиди аᴴдолобе агъази гурулъIа* уважать старших; _ратл._ *агъазе*, _тлян._ *агъаз*
21	(-лъ̄илIи, )	а'гьило	a'-h-i-l-o	1) ссемья, родня, родные; *эс̄е агьило* наша семья 2) люди, жители 3) племя *о̄'* *шве-лалIи агьило* царство мертвых (_букв. _племя кладбища)
22	(-лIи)	ада'	a-d-a-'	1) вежливость, учтивость; воспитанность; *ада гведабе аᴴде* а) благовоспитанный человек б) вежливый, учтивый человек; *ада голъIабе хакъи* а) неучтивые (невежливые) люди б) нахальные (циничные) люди; *ада гурулъIа *проявить учтивость; *ада тIонулъIа* быть неучтивым 2) уважение; *ада гурулъIа *уважить кого-л., оказывать уважение _к кому-л._; *микIилIи адала гуйа, иᴴкIас̄убе хIурма-тила гуйа* _погов._ относись с уважением к младшим, с почтением – к старшим; _ратл._ *адаби*, _тлян._ *адам*, _цег._ *адаб*
23		адагве'да/б/е	a-d-a-gʷ-e'-d-a-b-e	 вежливый, учтивый, обходительный, любезный, деликатный; _ратл._ *адабдаб / адабгвадаб*, _тлян._ *адамудаб*, _цег._ *адабудаб*
24		адагвика'/б/е	a-d-a-gʷ-i-k-a'-b-e	 неучтивый
25	(-с̄у/б/е, -ди)	а'дагене	a'-d-a-g-e-n-e	* *пухля (_о пухленьком мальчике_), карапуз; _тлян._ *харху*
26		ада'къеда/б/е	a-d-a'-q͡χ’ː-e-d-a-b-e	 1) неучтивый 2) циничный; _ратл._ *адабкъедаб*; _тлян._ *адамулъаб*
27		ада'лIи 1.	a-d-a'-t͡ɬː-i 1.	 _род. п. от_ *ада'* 2. _в знач. прил._ вежливый, учтивый; благовоспитанный; обходительный; *адалIи аᴴде* а) вежливый человек б) благовоспитанный человек; _ратл._ *адаблъ̄илIи*, _тлян._ *адамудаб*
28	(-е̄лIи /-лъ̄илIи)	ада'хъати	a-d-a'-q͡χː-a-t-i	1) уважение 2) вежливость, учтивость; *ада-хъати гведаве *а) уважительный б) вежливый, учтивый; *ада-хъати гуру-лъIа* а) оказать _кому-л._ уважение б) проявлять вежливость, учтивость; _ратл._ *хъатир-адаб*, _тлян._ *адам-хъатир*, _цег._ *адаб-хъатир*
29	(-лъ̄илIи)	адахъулу'хъи	a-d-a-q͡χː-u-l-u'-q͡χː-i	забота, уход; *илолъIа ада-хъулухъи гурулъIа* заботиться о матери; _ратл._ *адам-хулух̄и*, _тлян., цег._ *адам-хъулухъе*
30	(-е̄лIи)	адахIурма'ти	a-d-a-ћ-u-r-m-a'-t-i	то же, что *хIурмати*; _тлян._ *адам-хIурмате*
31	(-с̄у/б/е, -ди)	адва	a-dʷ-a	*_миф._* *мусульманский святой* *(_невидимое* *человекоподобное существо, который обитает в горах, образуя сообщество_)
32	(-лолIи, -ла)	ади'йа	a-d-i'-j-a	одеяло (_нестеганое, в виде покрывала_); *адийалолIи бакьIа* край одеяла; *адийа кьIадо шо̄нулъIа* укрыться одеялом; _тлян._ *адийал*
33	(-лъ̄илIи, -ди)	адикало'	a-d-i-k-a-l-o-'	одеколон; *адикалолъ̄илIи швани гурулъIа* (_букв._ сделать запах одеколона) // *адикало кьIада тIинурулъIа* (_букв._ налить на себя одеколон) надушиться одеколоном; _тлян._ *адикалан*
34	(-лIи / лолIи)	ажа'	a-ʒ-a-'	рябина красная; *ажалолIи къотIе* гроздь рябины; *ажалолIи* *руша* рябина (_дерево_); _ратл._ *ажали*; _тлян., цег._ *ажало*
35	(-лIи, -лъ̄илIи, -ди)	ажа'	a-ʒ-a-'	1) долото 2) стамеска; *ажалIи кваᴴхье* рукоятка долота (_или _стамески); *ажалоде катIи бехъурулъIа* пробить долотом отверстие; _ратл._ *ажали*, _тлян._ *ажало*
36	(-лъ̄илIи / -лIи)	ажа'на	a-ʒ-a'-n-a	рай; *ажаналIи михъи *райские фрукты; *дуре рекьIи ажаналъ̄а рухьадаве* _пожел._ пусть для тебя откроются врата рая (_букв._ чтоб твои руки попали в рай)
37	(-лъ̄илIи / -лIи)	ажа'	a-ʒ-a-'	рай; *ажаналIи михъи *райские фрукты; *дуре рекьIи ажаналъ̄а рухьадаве* _пожел._ пусть для тебя откроются врата рая (_букв._ чтоб твои руки попали в рай)
38	(-илIи)	ажа'не̄хъе	a-ʒ-a'-n-eː-q͡χː-e	земляника; клубника; *ажане̄хъе бакIарило̄рулъIа* собирать землянику _или_ клубнику; _цег._ *кокъи*, _тлян._ *гIоркъи, *_ратл._ *окъи*
39	(.)	ажихъан	a-ʒ-i-q͡χː-a-n	*, ажихъане *(_ратл._),* икьел *(_цег_*.*)* *_см._* махьва*
40	(-лIи, -а)	аза'гьо	a-z-a'-h-o	дракон (_сказочное чудовище_); *азагьолIи мина* голова дракона *◊ азагьогула илакье* злая свекровь (_букв._ подобная дракону свекровь); *азагьогула акĪа* неприступная (_букв._ как дракон) женщина; _тлян._ *аздагьо*, _ратл._ *гIаздагьо*
41		аза'зарода	a-z-a'-z-a-r-o-d-a	 _числ._ тысячами; бесчисленное множество; *азазарода бакала гве дулъIа хакъилъ̄илIи* тысячу благодарностей тебе от народа; *азазарода аᴴде* много людей; _тлян._ *азаз̄арода*
42	(-лъ̄илIи, -лIи)	аза'ло	a-z-a'-l-o	кукурузные рыльца; *азало болIере годи* (_на початках_) появились рыльца
43		азаро'	a-z-a-r-o-'	 _числ._ тысяча (_служит для образования составных числительных_); *азаро къеᴴдода* тысяча двадцать; _тлян._ *азару*
44		азаро'да	a-z-a-r-o'-d-a	 1. _числ._ тысяча; *азарода гъурущи* тысяча рублей 2. _нареч._ много*; азарода чула бехурулъIа* купить* *много (_букв._ тысячу) вещей; _цег._, _тлян._ *азаруда*, _ратл._ *азарода*
45		азаро'чIе	a-z-a-r-o'-t͡ʃ’-e	 _нареч._ тысячу раз *◊ азарочIе экьурулъIа* много раз напоминать (_букв._ тысячу раз говорить); _тлян._ *азаручIе*
46	(-ло/б/е)	азербеджа'но	a-z-e-r-b-e-d͡ʒ-a'-n-o	азербайджанцы; *азербеджанолобе мицĪи* азербайджанский язык; _тлян._ *азербажанал*
47	(-лъ̄илIи / -лIи, -ди)	азиба'	a-z-i-b-a-'	двор; *чIиле с̄игис̄е азиба* дворик перед домом; *акьедас̄е азиба* общий двор; _ратл._ *азбар / азба-къоно*; _тлян._ *азбар*
48	(-лъ̄илIи / -лIи, -ди)	азба'	a-z-b-a-'	двор; *чIиле с̄игис̄е азиба* дворик перед домом; *акьедас̄е азиба* общий двор; _ратл._ *азбар / азба-къоно*; _тлян._ *азбар*
49	(-олIи, -а)	айа'ти	a-j-a'-t-i	_рел. наименьший выделяемый отрывок коранического текста, стих_; *айати жо̄рулъIа* читать суру из Корана; _ратл._ *айате*, _тлян._ *айат*
50	(-лIи /-лъ̄илIи, -ла)	а'кти	a'-k-t-i	акт; *акти гурулъIа ( / бехъурулъIа*) составить акт; _тлян._ *ахьта / акта*
51	(-лъ̄илIи / -лIи)	а'къило	a'-q͡χ’ː-i-l-o	1) ум, здравый смысл, разум, рассудок; *акъилолIи х̄аба* умные слова; *акъило бекъIурулъIа* поумнеть, остепениться; *дулъIала акъило охье бикIучала ал̄ас̄убе мукъсалъила̄ре бикIва вуди* _ирон._ видимо у Аллаха ум оскудел бы, если бы он и тебя оделил; *акъило камидабе аᴴде* рассудительный человек; *акъило сига бухьайа* не теряй разума (_букв._ опереди разум); *акъило бах̄урулъIа* растеряться; *акъило бухъIурулъIа* терять рассудок; *акъи-лолIи тIиᴴкIидала голъIа* ни капли здравого смысла 2) совет; *акъило охьурулъIа *дать совет; *акъило бехурулъIа* прислушаться к совету (_букв._ совет принять); _ратл., цег._ *гIакъло*, _тлян._ *гIакъоло*
52		а'къилолIи	a'-q͡χ’ː-i-l-o-t͡ɬː-i	1. _род. п. от _*а'къило* 2. _в знач. прил._* *мудрый; умный; *акъилолIи экIва* умный человек; *акъилолIи рекъIи* мудрое слово *◊ акъилолIи къвачIа* _перен._ мешок ума; _ратл._ *гIакъилдаб*, _тлян._ *гIакъололIи*, _цег._ *гIакълолI*
53	(-ролIи)	акъу'с̄айе	a-q͡χ’ː-u'-sː-a-j-e	удушение; _ратл._ *аркъус̄ари*, _тлян._ *хатIахер*
54	(-ролIи)	а'къус̄е	a'-q͡χ’ː-u-sː-e	1) удушливость 2) затруднения при глотании (_застрявшего в горле куска_); _ратл._* аркъус̄ери*, _тлян._ *гIанкъилер*
55	(-а̄'ри, -ва, -айа', -а'йе̄гье, -а̄'ре)	акъус̄о'/рулъIа	a-q͡χ’ː-u-sː-o'-r-u-t͡ɬ-a	1) душить; *макъаликьи гуцIо̄гье гьудус̄ве дене акъус̄елъо̄гье къада рих̄вари* вцепившись в горло, он чуть не задушил меня 2) топить *◊ с̄имаде акъус̄аре гуди гьудуве* злость душит его; _цег._ *х̄атIах̄ахъе*, _тлян._ *х̄атIах̄ехъе*, _ратл._ *аркъвис̄уйтIу-* лахъе*
56	(-ари', -ва, -а, -е̄'гье, -е'ре)	акъус̄у'/рулъIа	a-q͡χ’ː-u-sː-u'-r-u-t͡ɬ-a	1) давиться, душиться; *имихи акъус̄алаголе кIолигуне квари бехъа* сними веревку с ослиной шеи, а то как бы он не удавился 2) задыхаться; д*ене ас̄и микъIвилъIе акъус̄ере гиди* мне не хватает воздуха, я задыхаюсь 3) тонуть; *лъ̄еᴴкьIонулъIа бекъIилелъIо ваша акъус̄ари* от неумения плавать мальчик утонул; _ратл._ *аркъус̄овлахъе*, _тлян._ *гIанкъилихъе*, _цег._ *гIанкълахъе*
57		акъIагьандаб	a-q͡χ’-a-h-a-n-d-a-b	(_ратл._)* *_см_*. тIигьолIи*
58	(.)	акъIагьанлъулахъе	a-q͡χ’-a-h-a-n-ɬ-u-l-a-q͡χː-e	* *_см_*. тIигьолъурулъIа*
59		акьа̄кье'	a-t͡ɬʼː-aː-t͡ɬʼː-e-'	 _нареч._ изредка; иногда; порой; *гьудуве акьа̄кье эс̄ега вух̄ири* он изредко наведывается к нам; *акьа̄кье налъ̄е-гIайе бухъерога бекъIири* иногда ссоры доходят до драки; *жомолIи акьа̄кье жажа мичене годи* среди травы изредка встречается и мордовник; *акьа̄кье ракIварога бухьири* … порой кажется …; _ратл._ *акьакьекIу*, _тлян._ *акьакьаги*
60		акьа'рахъе	a-t͡ɬʼː-a'-r-a-q͡χː-e	 _нареч. со знач._ у основания (_стены_) в углу; *акьарахъе билъурулъIа* ставить у основания; *акьарахъе кIо̄нулъIа* лечь впритык к стене *◊ акьарахъе билъурулъIа* иметь на примете _кого-что-л._, иметь _кого-что-л._ про запас (_букв._ ставить у основания); _тлян._ *кьарахъе*, _цег._ *акьакьарахъе*
61		акьа̄хва'ри	a-t͡ɬʼː-aː-χʷ-a'-r-i	_в знач. нареч._ на макушке; *акьа̄хваруне мина хIуле̄гье годи* голова с макушки облысела; _ратл._ *акьеъахвари*, _тлян._ *бакьахвари*, _цег._ *бакьиъахвари*
62		акьва̄кьу'да	a-t͡ɬʼʷː-aː-t͡ɬʼː-u'-d-a	 _числ._ по семь; по семи; *кIемидилобе акьва̄кьуда микIе годи* у обоих по семь детей; *акьва̄кьуда кемети бих̄вари ис̄а* нам досталось по семи конфет; _тлян._ *акьакьуда*
63		акьва̄'кьва	a-t͡ɬʼʷː-aː'-t͡ɬʼʷː-a	 _числ._ по семь; по семи; *кIемидилобе акьва̄кьуда микIе годи* у обоих по семь детей; *акьва̄кьуда кемети бих̄вари ис̄а* нам досталось по семи конфет; _тлян._ *акьакьуда*
64		акьве̄'ди	a-t͡ɬʼʷː-eː'-d-i	 _числ. собир._ семеро; *акьве̄ди гьагас̄а бекъIа* семеро идите сюда; _тлян._ *акьуда*
65		акьве̄шано'да	a-t͡ɬʼʷː-eː-ʃ-a-n-o'-d-a	 _числ._ семьсот; *акьве̄шанода реше уᴴс̄илIи мадабе *_что-л._ пролежавшее в земле семьсот лет; _ратл._ *акьубешано*, _тлян._ *акьубешенуда*
66		акьвеша'ноликьида/б/е	a-t͡ɬʼʷː-e-ʃ-a'-n-o-l-i-t͡ɬʼː-i-d-a-b-e	 семисотый; _ратл._ *акьубешанокьидаб*, _тлян._ *акьубешенолекьеб*
67		акье'	a-t͡ɬʼː-e-'	 _послелог_ среди, между _кем-чем-л._; *аᴴдологе акье хьвадилорулъIа бекъIере гве гьудус̄ва* он умеет вести себя среди людей; *элIегеда акье бих̄у мича гьу х̄аба* пусть этот разговор останется между нами; *иᴴцĪоге акье уᴴкIа бихьурулъIа* прищемить палец между дверью; *мачида чулалъ̄ига акьега волIурулъIа* вмешиваться в разговор (_букв._ становиться между рассказываемой вещью) 2. _нареч._ в середине; посредине; *акье бих̄урулъIа* а) остаться в середине б) _перен._ быть пропущенным (_по недосмотру_) *◊ акье суъа билъурулъIа* ставить вопрос на обсуждение (_букв. _в середину); *суъа акье бих̄вари* вопрос остался неохваченным (_букв._ посредине); *акье мухъу белъ̄урулъIа* пропустить строку; *акье гьула билъурулъIа* биться об заклад (_букв._ ставить вещь посредине); *акье бикъурулъIа* разделить прибыль (_букв._ между делить); *акье бих̄вадабе микIе* ребенок, у которого родители в разводе (_букв._ в середине оставшийся ребенок); *акье бегъилъIе̄гье* беспрестанно (_букв._ между не останавливаясь); *акье микъилъ̄и бих̄урулъIа *остаться недоделанной (_о работе_) (_букв._ остаться в середине дороги); _ратл._ *акьеге*, _ратл._ *акьаге*
68		акье'ге	a-t͡ɬʼː-e'-g-e	 _послелог_ среди, между _кем-чем-л._; *аᴴдологе акье хьвадилорулъIа бекъIере гве гьудус̄ва* он умеет вести себя среди людей; *элIегеда акье бих̄у мича гьу х̄аба* пусть этот разговор останется между нами; *иᴴцĪоге акье уᴴкIа бихьурулъIа* прищемить палец между дверью; *мачида чулалъ̄ига акьега волIурулъIа* вмешиваться в разговор (_букв._ становиться между рассказываемой вещью) 2. _нареч._ в середине; посредине; *акье бих̄урулъIа* а) остаться в середине б) _перен._ быть пропущенным (_по недосмотру_) *◊ акье суъа билъурулъIа* ставить вопрос на обсуждение (_букв. _в середину); *суъа акье бих̄вари* вопрос остался неохваченным (_букв._ посредине); *акье мухъу белъ̄урулъIа* пропустить строку; *акье гьула билъурулъIа* биться об заклад (_букв._ ставить вещь посредине); *акье бикъурулъIа* разделить прибыль (_букв._ между делить); *акье бих̄вадабе микIе* ребенок, у которого родители в разводе (_букв._ в середине оставшийся ребенок); *акье бегъилъIе̄гье* беспрестанно (_букв._ между не останавливаясь); *акье микъилъ̄и бих̄урулъIа *остаться недоделанной (_о работе_) (_букв._ остаться в середине дороги); _ратл._ *акьеге*, _ратл._ *акьаге*
69	(-лъ̄илIи, -ди)	акье'бакIа	a-t͡ɬʼː-e'-b-a-k’-a	середина ладони; *акьебакIа цĪинере гвелъала кьIада ачи бекъIиде* _примета _ладонь чешется – к деньгам; _ратл._ *рекьIаъакьелIи*, _тлян._ *бакьибакIа*, _цег._ *квашбакьахъе*
70	(-ари, -ва, -а', -е̄гье, -ере)	акьега'болIу/рулъIа	a-t͡ɬʼː-e-g-a'-b-o-t͡ɬː-u-r-u-t͡ɬ-a	ввязываться; вмешиваться; встревать; *х̄абага акьега-болIурулъIа* ввязываться в разговор; *дагIига акьегаболIурулъIа* ввязываться в спор; *аᴴдолобе ишилъ̄ига акьега бекъурулъIа* вмешиваться в чужие дела; _тлян._ *акьаголIехъе*, _цег._ *акьа-голIахъе*
71	(-ролIи)	а'кьелъе	a'-t͡ɬʼː-e-ɬ-e	взаимоотношения, отношения; *гьододобе акьелъе бухъIари* их отношения разладились; _ратл._ *акьегелъери*, _тлян._ *акьагелъилер*
72		акьелъ̄иге'с̄е	a-t͡ɬʼː-e-ɬː-i-g-e'-sː-e	 центральный; *акье-лъ̄игес̄е кьечIа* центральная балка; _ратл._ *акьелIунс̄и*, _тлян._, _цег._ *ба-кьидагес̄е*
73		акьелъ̄игудаъе'х̄а	a-t͡ɬʼː-e-ɬː-i-g-u-d-a-ʔ-e'-χː-a	 _в знач. нареч._ вдруг, внезапно, неожиданно; *акьелъ̄игудаъех̄а акĪа гIо̄рулъIа йелIвари* вдруг женщина начала плакать; _тлян._ *акьереколIикIайхьи*, _цег._ *акьагакIабихь*
74		акьелъIа'лиге	a-t͡ɬʼː-e-t͡ɬ-a'-l-i-g-e	 _нареч._ средь бела дня; *акьекье̄ле гьудодобе чIили бехъари* средь бела дня их обокрали; _тлян._ *акьелъалиге*, _цег._ *акьилъалге* 
75		акьекье̄'ле	a-t͡ɬʼː-e-t͡ɬʼː-eː'-l-e	 _нареч._ средь бела дня; *акьекье̄ле гьудодобе чIили бехъари* средь бела дня их обокрали; _тлян._ *акьелъалиге*, _цег._ *акьилъалге* 
76		акье'лIихъе	a-t͡ɬʼː-e'-t͡ɬː-i-q͡χː-e	 _нареч._ в талии, пояснице, на пояснице; *акьелIихъе ракьича кIарурулъIа* подпоясаться ремнем; _ратл., тлян._ *акьелIун*, _цег._ *акьалIун*
77	(-лъ̄илIи /-лIи, -ди)	а'кьералъIа	a'-t͡ɬʼː-e-r-a-t͡ɬ-a	полночь; *акьералъIа бекъIари* наступила полночь; _цег._ *акьралъе*, _ратл._ *акьIералъIа*, _тлян._ *акьералъа*
78		акье'ралъIалъ̄иге	a-t͡ɬʼː-e'-r-a-t͡ɬ-a-ɬː-i-g-e	 _нареч._ в полночь; _ратл._ *акьералъIа*, _тлян._ *акьералъалъ̄и*
79		акье'с̄е	a-t͡ɬʼː-e'-sː-e	 1) центральный; средний; *акьес̄е кьечIа* центральная балка; *акьес̄е гьума *средний столб; *акьес̄е уᴴкIа* средний палец; *акьес̄е чIили* средняя комната 2) меж-, общий; *акьес̄е кукъи* общая работа; *кIеда гьаᴴлъ̄иге акьес̄е хваба *межаульская мельница*; хакъилъ̄иге акьес̄е ахIва-хIа* международное положение; *кIемидилоге акьес̄е х̄аба* разговор один на один (_букв._ разговор между двумя); *акьес̄е хъIури* пахотный участок, возделываемый несколькими лицами 3) посредственный; *акьес̄е къимате* посредственная оценка *◊ акьес̄е чула* вещь так себе (_букв._ посредственная вещь); _ратл._ *акьегес̄и*, _тлян._ *акьагес̄е / бакьидагес̄и*, _цег._* акьагес̄ / бакьагес̄*
80		акьес̄и'ги	a-t͡ɬʼː-e-sː-i'-g-i	 _нареч._ иногда, изредка; кое-когда; *гьудуве акье-с̄иги вокъIири эс̄ега* он изредка заходит к нам; _тлян._ *акьаге-батIиге*, _цег._ *акьаге-батIге*
81	(-лIи /-лъ̄илIи, -ба)	а'кьи	a'-t͡ɬʼː-i	бревно, балка; _ратл._ *ацĪекьен*, _тлян._ *чIванчIвара*
82	(-лIи, -ла)	а'кьо	a'-t͡ɬʼː-o	неделя; *акьоге гелIи* в течение недели; *тIубаладабе акьо* целая неделя *◊ акьолIи рокьи болIурулъIа* _перен._ надоесть _что-л._, забросить _что-л._ (_букв._ закончить недельную любовь); _цег._, _тлян., ратл._ *акьу*
83		акьу'да	a-t͡ɬʼː-u'-d-a	 _числ._ семь; *акьуда боцĪо *семь* *месяцев*; акьуда (/ акьва) вац̄ис̄уйе йац̄и *сестра* *семи братьев; _ратл._ *акьу*
84		акьуда/б/е	a-t͡ɬʼː-u-d-a-b-e	 _числ._ семь; *акьуда боцĪо *семь* *месяцев*; акьуда (/ акьва) вац̄ис̄уйе йац̄и *сестра* *семи братьев; _ратл._ *акьу*
85		акьу'даламекIу	a-t͡ɬʼː-u'-d-a-l-a-m-e-k’-u	*АКIУДАЛА-МЕКIУ РАКЪА̄БЕ* идеальный; ладный, без изъянов (_букв._ семь углов равных); *акьудаламекIу ракъадаве экIва* идеальный человек; *акьудаламекIу ракъа̄бе чула гьагилIи бикIува* нет в мире совершенства (_букв._ где же взять вещь с семью равными углами?); _ратл._ *акьу беркIвен ракъадаб*, _тлян._ *акьудаларакъехь*
86		акьу'даъазаро	a-t͡ɬʼː-u'-d-a-ʔ-a-z-a-r-o	_числ._ семь тысяч; *акьудаъазаро гъурущи* семь тысяч рублей; _ратл._ *акьуъазаро*, _тлян._ *акьоъазаруда*
87		акьва̄'зарода	a-t͡ɬʼʷː-aː'-z-a-r-o-d-a	_числ._ семь тысяч; *акьудаъазаро гъурущи* семь тысяч рублей; _ратл._ *акьуъазаро*, _тлян._ *акьоъазаруда*
88		а'кьуликьида/б/е	a'-t͡ɬʼː-u-l-i-t͡ɬʼː-i-d-a-b-e	 седьмой; *акьуликьидайе йаше* седьмая дочь; *акьуликьидабе калас̄и* седьмой класс; _ратл._ *акьвекьидаб*, _тлян._ *акьулекьеб*, _цег._ *акьлокьеб*
89		а'кьулилIи	a'-t͡ɬʼː-u-l-i-t͡ɬː-i	1. семилетний (_о возрасте животного_); *акьулилIи уᴴча* семилетний бык 2. семерка (_цифра, номер, размер_); *акьулилIи резека* галоши седьмого размера; *акьулилIи хъалиц̄а* коса семерка; _ратл._ *акьулилI*, _тлян._ *акьулекьеб*
90		акьу'лъи	a-t͡ɬʼː-u'-ɬ-i	 _нареч._ на семь частей
91		акьу'ча	a-t͡ɬʼː-u'-t͡ʃ-a	семерка (_цифра, карта_); *акьуча тIо̄'нулъIа* ходить семеркой; _тлян._ *акьулилI*
92		а'кьучIе	a'-t͡ɬʼː-u-t͡ʃ’-e	 _числ._ _в знач._ _нареч._ семь раз; *акьучIе кIеда ачIалобокъIода* семью два – четырнадцать; *акьучIе мача, иᴴчIи букъа* _погов._ семь раз отмерь, один раз отрежь; _тлян._ *акьучIеда*, _цег._ *акьчIе*
93	(-лъ̄илIи / -олIи, -а)	акIа'тIи	a-k’-a'-t’-i	рог; *с̄орадаре акIатIа* вьющиеся рога; *аᴴкIатIи кьварурулъIа* боднуть (_букв._ рог ударить); _тлян._ *гIакIатIи*
94	(-лъ̄илIи / -олIи, -а)	аᴴкIа'тIи	ã-k’-a'-t’-i	рог; *с̄орадаре акIатIа* вьющиеся рога; *аᴴкIатIи кьварурулъIа* боднуть (_букв._ рог ударить); _тлян._ *гIакIатIи*
